"region"	"type of building"	"period of construction"	"year"	Number of dwellings
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"1961-1970"	"2017"	20428
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"1961-1970"	"2018"	20528
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"1961-1970"	"2019"	20516
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"1961-1970"	"2020"	20530
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"1961-1970"	"2021"	20514
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"1971-1980"	"2013"	23417
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"1971-1980"	"2014"	23440
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"1971-1980"	"2015"	23466
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"1971-1980"	"2016"	23424
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"1971-1980"	"2017"	23410
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"1971-1980"	"2018"	23410
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"1971-1980"	"2019"	23411
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"1971-1980"	"2020"	23439
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"1971-1980"	"2021"	23434
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"1981-1990"	"2013"	10230
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"1981-1990"	"2014"	10182
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"1981-1990"	"2015"	10188
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"1981-1990"	"2016"	10211
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"1981-1990"	"2017"	10198
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"1981-1990"	"2018"	10208
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"1981-1990"	"2019"	10212
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"1981-1990"	"2020"	10204
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"1981-1990"	"2021"	10221
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"1991-2000"	"2013"	6619
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"1991-2000"	"2014"	6655
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"1991-2000"	"2015"	6672
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"1991-2000"	"2016"	6710
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"1991-2000"	"2017"	6729
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"1991-2000"	"2018"	6738
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"1991-2000"	"2019"	6722
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"1991-2000"	"2020"	6729
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"1991-2000"	"2021"	6737
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"2001-2010"	"2013"	8239
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"2001-2010"	"2014"	8290
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"2001-2010"	"2015"	8296
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"2001-2010"	"2016"	8625
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"2001-2010"	"2017"	8631
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"2001-2010"	"2018"	8640
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"2001-2010"	"2019"	8654
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"2001-2010"	"2020"	8676
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"2001-2010"	"2021"	8687
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"2011-2020"	"2013"	1578
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"2011-2020"	"2014"	2015
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"2011-2020"	"2015"	2530
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"2011-2020"	"2016"	3412
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"2011-2020"	"2017"	4127
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"2011-2020"	"2018"	4527
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"2011-2020"	"2019"	4818
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"2011-2020"	"2020"	5404
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"2011-2020"	"2021"	5446
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"2021-"	"2013"	0
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"2021-"	"2014"	0
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"2021-"	"2015"	0
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"2021-"	"2016"	0
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"2021-"	"2017"	0
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"2021-"	"2018"	0
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"2021-"	"2019"	0
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"2021-"	"2020"	0
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"2021-"	"2021"	287
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"data missing"	"2013"	183
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"data missing"	"2014"	48
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"data missing"	"2015"	85
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"data missing"	"2016"	85
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"data missing"	"2017"	136
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"data missing"	"2018"	296
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"data missing"	"2019"	71
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"data missing"	"2020"	85
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"data missing"	"2021"	153
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"-1930"	"2013"	115981
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"-1930"	"2014"	116246
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"-1930"	"2015"	116815
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"-1930"	"2016"	119253
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"-1930"	"2017"	119898
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"-1930"	"2018"	120619
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"-1930"	"2019"	121020
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"-1930"	"2020"	121273
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"-1930"	"2021"	121366
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"1931-1940"	"2013"	87328
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"1931-1940"	"2014"	87616
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"1931-1940"	"2015"	88023
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"1931-1940"	"2016"	88212
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"1931-1940"	"2017"	88452
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"1931-1940"	"2018"	88859
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"1931-1940"	"2019"	88816
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"1931-1940"	"2020"	89001
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"1931-1940"	"2021"	89222
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"1941-1950"	"2013"	83524
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"1941-1950"	"2014"	83715
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"1941-1950"	"2015"	83895
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"1941-1950"	"2016"	84298
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"1941-1950"	"2017"	84580
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"1941-1950"	"2018"	84728
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"1941-1950"	"2019"	85300
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"1941-1950"	"2020"	85505
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"1941-1950"	"2021"	85804
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"1951-1960"	"2013"	110725
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"1951-1960"	"2014"	111040
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"1951-1960"	"2015"	111252
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"1951-1960"	"2016"	111383
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"1951-1960"	"2017"	111582
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"1951-1960"	"2018"	111642
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"1951-1960"	"2019"	111697
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"1951-1960"	"2020"	111984
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"1951-1960"	"2021"	112126
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"1961-1970"	"2013"	121837
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"1961-1970"	"2014"	121935
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"1961-1970"	"2015"	122464
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"1961-1970"	"2016"	122412
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"1961-1970"	"2017"	122397
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"1961-1970"	"2018"	122674
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"1961-1970"	"2019"	122907
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"1961-1970"	"2020"	123067
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"1961-1970"	"2021"	123224
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"1971-1980"	"2013"	63872
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"1971-1980"	"2014"	63824
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"1971-1980"	"2015"	64029
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"1971-1980"	"2016"	64146
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"1971-1980"	"2017"	64118
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"1971-1980"	"2018"	64199
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"1971-1980"	"2019"	64445
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"1971-1980"	"2020"	64603
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"1971-1980"	"2021"	64665
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"1981-1990"	"2013"	34079
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"1981-1990"	"2014"	34088
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"1981-1990"	"2015"	34100
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"1981-1990"	"2016"	33411
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"1981-1990"	"2017"	33513
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"1981-1990"	"2018"	33586
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"1981-1990"	"2019"	33248
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"1981-1990"	"2020"	33272
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"1981-1990"	"2021"	33499
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"1991-2000"	"2013"	23525
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"1991-2000"	"2014"	23587
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"1991-2000"	"2015"	23671
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"1991-2000"	"2016"	23374
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"1991-2000"	"2017"	23582
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"1991-2000"	"2018"	23547
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"1991-2000"	"2019"	23707
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"1991-2000"	"2020"	23671
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"1991-2000"	"2021"	23691
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"2001-2010"	"2013"	38331
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"2001-2010"	"2014"	38692
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"2001-2010"	"2015"	39121
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"2001-2010"	"2016"	39365
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"2001-2010"	"2017"	40039
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"2001-2010"	"2018"	40285
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"2001-2010"	"2019"	40401
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"2001-2010"	"2020"	40426
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"2001-2010"	"2021"	40435
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"2011-2020"	"2013"	12839
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"2011-2020"	"2014"	18330
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"2011-2020"	"2015"	25943
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"2011-2020"	"2016"	33407
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"2011-2020"	"2017"	43592
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"2011-2020"	"2018"	53673
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"2011-2020"	"2019"	62850
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"2011-2020"	"2020"	70672
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"2011-2020"	"2021"	74017
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"2021-"	"2013"	0
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"2021-"	"2014"	0
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"2021-"	"2015"	0
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"2021-"	"2016"	0
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"2021-"	"2017"	0
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"2021-"	"2018"	0
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"2021-"	"2019"	0
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"2021-"	"2020"	0
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"2021-"	"2021"	6557
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"data missing"	"2013"	7155
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"data missing"	"2014"	6009
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"data missing"	"2015"	5089
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"data missing"	"2016"	5888
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"data missing"	"2017"	1851
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"data missing"	"2018"	957
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"data missing"	"2019"	1160
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"data missing"	"2020"	947
"SKL01 metropolitan municipalities (3 municipalities)"	"multi-dwelling buildings"	"data missing"	"2021"	1034
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"-1930"	"2013"	2857
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"-1930"	"2014"	3095
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"-1930"	"2015"	3327
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"-1930"	"2016"	3414
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"-1930"	"2017"	3499
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"-1930"	"2018"	3667
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"-1930"	"2019"	3838
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"-1930"	"2020"	3969
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"-1930"	"2021"	3939
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"1931-1940"	"2013"	873
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"1931-1940"	"2014"	950
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"1931-1940"	"2015"	1016
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"1931-1940"	"2016"	1095
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"1931-1940"	"2017"	1404
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"1931-1940"	"2018"	1645
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"1931-1940"	"2019"	1667
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"1931-1940"	"2020"	1625
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"1931-1940"	"2021"	1643
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"1941-1950"	"2013"	656
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"1941-1950"	"2014"	720
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"1941-1950"	"2015"	771
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"1941-1950"	"2016"	759
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"1941-1950"	"2017"	761
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"1941-1950"	"2018"	849
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"1941-1950"	"2019"	842
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"1941-1950"	"2020"	845
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"1941-1950"	"2021"	850
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"1951-1960"	"2013"	1140
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"1951-1960"	"2014"	1181
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"1951-1960"	"2015"	1201
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"1951-1960"	"2016"	1204
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"1951-1960"	"2017"	1380
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"1951-1960"	"2018"	1344
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"1951-1960"	"2019"	1351
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"1951-1960"	"2020"	1371
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"1951-1960"	"2021"	1375
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"1961-1970"	"2013"	3021
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"1961-1970"	"2014"	3074
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"1961-1970"	"2015"	3072
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"1961-1970"	"2016"	3153
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"1961-1970"	"2017"	3101
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"1961-1970"	"2018"	3144
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"1961-1970"	"2019"	3322
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"1961-1970"	"2020"	3219
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"1961-1970"	"2021"	3194
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"1971-1980"	"2013"	2263
